,Node,ROR,RES,PS_O,PS_C
0,AL00,0.0,1598350.0,0.0,0.0
0,AT00,16764.7549183061,768083.0,1731889.9999999998,1800.0
0,BA00,810.0,1748785.0,3430.0,0.0
0,BE00,0.0,0.0,0.0,5700.0
0,BG00,0.0,843160.8593812599,36621.53846153846,218635.75396825396
0,CH00,0.0,8155000.0,0.0,670000.0
0,CZ00,0.0,2500.0,2300.0,3700.0
0,DE00,0.0,258578.02197802198,416758.99999999994,608179.7889984642
0,ES00,550.0,11648512.501009999,5961860.0,123535.0
0,FI00,0.0,5530000.0,0.0,0.0
0,FR00,0.0,10000000.0,90000.00000000001,10000.000000000002
0,GR00,0.0,3600000.0,4500.0,3500.0
0,HR00,3991.0000000000005,2045909.9999999998,18300.0,0.0
0,HU00,0.0,0.0,0.0,0.0
0,IE00,0.0,0.0,0.0,1720.0
0,ITCA,0.0,572380.0,0.0,6400.0
0,ITCN,0.0,186970.0,0.0,0.0
0,ITCS,0.0,803360.0,94990.0,13899.999999999998
0,ITN1,0.0,3707000.0,194000.0,31300.0
0,ITS1,0.0,153790.0,0.0,3600.0
0,ITSA,0.0,144350.0,0.0,7800.0
0,ITSI,0.0,81250.0,20390.0,7400.0
0,LT00,0.0,0.0,0.0,10600.0
0,LUG1,0.0,0.0,0.0,0.0
0,LUV1,0.0,0.0,0.0,5000.0
0,LV00,16000.4,0.0,0.0,0.0
0,ME00,0.0,460000.0,0.0,0.0
0,MK00,140.0,622107.0,0.0,0.0
0,NL00,0.0,0.0,0.0,0.0
0,NOM1,0.0,0.0,8602000.0,0.0
0,NON1,0.0,0.0,21301000.0,0.0
0,NOS0,0.0,0.0,57328000.0,0.0
0,PL00,0.0,823.9799999999999,1498.264,6341.0
0,PT00,6400.0,1289600.0,2017899.9999999998,0.0
0,RO00,0.0,2209210.0,1032800.0,0.0
0,RS00,0.0,646000.0,0.0,254000.0
0,SE01,0.0,14426307.0,0.0,0.0
0,SE02,0.0,14798598.900000002,0.0,0.0
0,SE03,0.0,2635077.0,0.0,0.0
0,SE04,0.0,71350.0,0.0,0.0
0,SI00,0.0,0.0,0.0,2596.0
0,SK00,29005.724699450002,0.0,45547.68380375,4099.5445
0,TR00,0.0,88200000.0,0.0,0.0
0,UK00,0.0,0.0,0.0,26380.000000000004
