,Node/Line,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Node1,Node2
0,AL00-GR00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,3120.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AL00,GR00
1,AL00-ME00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,1704.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AL00,ME00
2,AL00-MK00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,998.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AL00,MK00
3,AL00-RS00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,161.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AL00,RS00
4,AT00-CH00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,184.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AT00,CH00
5,AT00-DE00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,9870.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AT00,DE00
6,AT00-HU00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,3259.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AT00,HU00
7,AT00-ITN1,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,3913.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AT00,ITN1
8,AT00-SI00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,5008.0,DE2040-2007 Update,,,IoSN Lite,Electricity,AT00,SI00
9,BA00-HR00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,2298.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BA00,HR00
10,BA00-ME00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,948.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BA00,ME00
11,BA00-RS00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,95.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BA00,RS00
12,BE00-DE00,,Flow,Interconnection,Reference Grid,Distributed Energy,2040,2007,3320.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BE00,DE00
13,BE00-FR00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,2359.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BE00,FR00
14,BE00-LUG1,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,5110.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BE00,LUG1
15,BE00-NL00,,Flow,Interconnection,Expanded Grid,Distributed Energy,2040,2007,11157.0,DE2040-2007 Update,,,IoSN Lite,Electricity,BE00,NL00
