,Node,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Note
0,ES00,DSR,Generation,Electricity Market,,Distributed Energy,2040,2007,460.0,DE2040-2007 Update,,,IoSN Lite,Electricity,Generation in Spain excludes Balearic islands
1,FI00,DSR,Generation,Electricity Market,,Distributed Energy,2040,2007,4925.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
2,AT00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,4733.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
3,BE00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,5433.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
4,CH00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,3610.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
5,CZ00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,0.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
6,CZ00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,4085.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
7,DE00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,63660.61902986,DE2040-2007 Update,,,IoSN Lite,Electricity,
8,DE00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,6327.38097014,DE2040-2007 Update,,,IoSN Lite,Electricity,
9,DKE1,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,263.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
10,DKW1,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,621.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
11,EE00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,812.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
12,ES00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,17772.0,DE2040-2007 Update,,,IoSN Lite,Electricity,Generation in Spain excludes Balearic islands
13,FI00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,29.714681603,DE2040-2007 Update,,,IoSN Lite,Electricity,
14,FI00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,601.285318397,DE2040-2007 Update,,,IoSN Lite,Electricity,
15,FR00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,6523.907091516,DE2040-2007 Update,,,IoSN Lite,Electricity,
16,FR00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,1423.092908484,DE2040-2007 Update,,,IoSN Lite,Electricity,
17,HR00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,349.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
18,HU00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,772.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
19,IE00,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,702.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
20,ITCN,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,1401.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
21,ITCS,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,2815.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
22,ITN1,Other Non RES,Generation,Electricity Market,,Distributed Energy,2040,2007,12651.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
