Timestep,Real trade demand focus country
1,-6976.019853483727
2,-7100.0
3,-7100.0
4,-7100.0
5,-7100.0
6,-7100.0
7,-7100.0
8,-7100.0
9,-7100.0
10,-7100.0
11,-7100.0
12,-7100.0
13,-7100.0
14,-7100.0
15,-7100.0
16,-7100.0
17,-6607.456867885954
18,-6907.298560309387
19,-7100.0
20,-7100.0
21,-7100.0
22,-7100.0
23,-7100.0
24,-7100.0
25,-7100.0
26,-7100.0
27,-7100.0
28,-6394.099857013019
29,-3953.8901037731457
30,-2815.812770927676
31,-1851.9545457441855
32,-1283.6266774713395
33,-685.2588493280523
34,-795.2042111777773
35,-148.6765210716303
36,-984.1708801981734
37,-354.0562307183559
38,-420.41119217161395
39,-921.0399752769902
40,-1560.5611617793463
41,-2780.589625104919
42,-4034.409158613742
43,-5480.610332056001
44,-6278.5701487988645
45,-6891.630777955665
46,-6258.452736949832
47,-6705.0345262964165
48,-7100.0
49,-7100.0
50,-7100.0
51,-7100.0
52,-7100.0
53,-7100.0
54,-7100.0
55,-7100.0
56,-7100.0
57,-7100.0
58,-7100.0
59,-7100.0
60,-7100.0
61,-7100.0
62,-7100.0
63,-6914.723126366278
64,-6025.211701512904
65,-5506.234774207931
66,-4894.3599375984995
67,-5444.38458432735
68,-6307.804287685201
69,-7100.0
70,-7100.0
71,-7100.0
72,-7100.0
73,-7100.0
74,-7100.0
75,-7100.0
76,-7100.0
77,-7100.0
78,-7100.0
79,-7100.0
80,-7100.0
81,-7100.0
82,-7100.0
83,-7100.0
84,-7100.0
85,-7100.0
86,-7100.0
87,-7100.0
88,-7100.0
89,-7100.0
90,-7100.0
91,-7100.0
92,-7100.0
93,-7100.0
94,-7100.0
95,-7100.0
96,-7100.0
97,-7100.0
98,-7100.0
99,-7100.0
100,-7100.0
101,-7100.0
102,-7100.0
103,-7100.0
104,-7100.0
105,-7100.0
106,-7100.0
107,-7100.0
108,-7100.0
109,-7100.0
110,-7100.0
111,-7100.0
112,-7100.0
113,-7100.0
114,-7100.0
115,-7100.0
116,-7100.0
117,-7100.0
118,-7100.0
119,-7100.0
120,-7100.0
121,-7100.0
122,-7100.0
123,-7100.0
124,-7100.0
125,-7100.0
126,-7100.0
127,-7100.0
128,-7100.0
129,-7100.0
130,-7100.0
131,-7100.0
132,-7100.0
133,-7100.0
134,-7100.0
135,-6853.368192472451
136,-2295.3533793731367
137,362.16214807937297
138,1835.855866458087
139,1059.2665628480509
140,-181.53928680376612
141,-3617.9984468624734
142,-4609.896448458096
143,-5280.159958014359
144,-6706.992291461427
145,-7100.0
146,-7100.0
147,-7100.0
148,-7100.0
149,-7100.0
150,-7100.0
151,-7100.0
152,-7100.0
153,-7100.0
154,-7100.0
155,-7100.0
156,-7100.0
157,-7100.0
158,-7100.0
159,-7100.0
160,-7100.0
161,-7100.0
