Timestep,Lambda value FC Submodel 1
1,14.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,14.0
18,14.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,14.0
29,14.0
30,14.5
31,14.5
32,14.5
33,14.5
34,14.5
35,14.5
36,14.5
37,14.5
38,14.5
39,14.5
40,14.5
41,14.5
42,14.0
43,14.0
44,14.0
45,14.0
46,14.0
47,14.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,14.0
63,14.0
64,14.0
65,14.0
66,14.0
67,14.0
68,14.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,14.0
136,14.5
137,17.5
138,37.0
139,37.0
140,14.5
141,14.5
142,14.0
143,14.0
144,14.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,14.0
173,14.0
174,14.0
175,14.5
176,14.5
177,14.5
178,14.5
179,14.5
180,14.5
181,14.5
182,96.0636
183,96.0636
184,96.26363637607271
185,101.5
186,101.5
187,101.5
188,101.5
189,101.5
190,102.0
191,101.5
192,96.4636
193,96.4636
194,96.26363637607271
195,96.26363637607271
196,96.26363637607271
197,96.26363637607271
198,101.5
199,101.5
200,101.5
201,96.26363637607271
202,96.26363637607271
203,96.26363637607271
204,96.26363637607271
205,96.26363637607271
206,96.26363637607271
207,96.26363637607271
208,96.26363637607271
209,96.4636
210,96.26363637607271
211,96.0636
212,96.0636
213,96.0636
214,96.26363637607271
215,96.26363637607271
216,96.2636
217,96.2636
218,96.26363637607271
219,96.26363637607271
220,96.26363637607271
221,96.26363637607271
222,96.4636
223,102.0
224,119.0
225,119.0
226,118.5
227,102.0
228,102.0
229,102.0
230,102.0
231,118.5
232,119.0
233,119.0
234,102.0
235,101.5
236,96.4636
237,96.0636
238,96.0636
239,96.26363637607271
240,96.0636
241,78.0
242,78.0
243,78.0
244,78.0
245,78.0
246,95.8636
247,96.0636
248,96.0636
249,96.26363637607271
250,96.0636
251,96.0636
252,96.0636
253,96.0636
254,96.26363637607271
255,96.4636
256,101.5
257,118.5
258,118.0
259,101.5
260,96.4636
261,96.26363637607271
262,96.0636
263,96.0636
264,37.0
265,14.5
266,14.5
267,14.5
268,14.0
269,14.0
270,14.0
271,14.0
272,14.0
273,14.0
