Timestep,Real trade demand focus country
1,-7100.0
2,-7100.0
3,-7100.0
4,-6500.0
5,-6500.0
6,-6100.0
7,-6100.0
8,-6600.0
9,-7100.0
10,-7100.0
11,-7100.0
12,-7100.0
13,-7100.0
14,-7100.0
15,-7100.0
16,-7100.0
17,-6514.196834379209
18,-6739.960407658243
19,-7100.0
20,-7100.0
21,-7100.0
22,-7100.0
23,-7100.0
24,-7100.0
25,-7100.0
26,-7100.0
27,-7100.0
28,-6500.0
29,-4151.689525481512
30,-2650.397309172121
31,-2264.4156616844957
32,-1282.7870059360253
33,-984.7135532199209
34,-943.5562082171357
35,-187.5837460422299
36,-840.7819265756166
37,-271.2847709584812
38,-333.2309553439004
39,-1078.8897659715997
40,-1908.0626294240235
41,-3174.9869365881896
42,-4285.055962367055
43,-5750.876965597185
44,-6517.315231885899
45,-7100.0
46,-6437.0748997560895
47,-6915.1942364569495
48,-7100.0
49,-7100.0
50,-7100.0
51,-7100.0
52,-7100.0
53,-6900.0
54,-6200.0
55,-6700.0
56,-7100.0
57,-7100.0
58,-4900.0
59,-5800.0
60,-5900.0
61,-6100.0
62,-5467.410428582856
63,-4991.713711011034
64,-4521.263702432807
65,-3616.290952551608
66,-3397.0836210769758
67,-3752.104490399699
68,-4766.727153736332
69,-5635.740903735248
70,-5735.618624740913
71,-3900.0
72,-3700.0
73,-3700.0
74,-3700.0
75,-3700.0
76,-3700.0
77,-3500.0
78,-2700.0
79,-2700.0
80,-2700.0
81,-2700.0
82,-2700.0
83,-3700.0
84,-3700.0
85,-3700.0
86,-3700.0
87,-4900.0
88,-7100.0
89,-7100.0
90,-7100.0
91,-7100.0
92,-7100.0
93,-7100.0
94,-3700.0
95,-3700.0
96,-3700.0
97,-3700.0
98,-3700.0
99,-3700.0
100,-3700.0
101,-3700.0
102,-3700.0
103,-3700.0
104,-5300.0
105,-6100.0
106,-6100.0
107,-6600.0
108,-7100.0
109,-7100.0
110,-6847.180488050349
111,-6105.92584186936
112,-5728.942990683341
113,-6636.883208908355
114,-6512.062937347631
115,-6687.408383309703
116,-6342.926381871564
117,-6072.421072401245
118,-5676.3392622209885
119,-5656.849577370098
120,-5600.0
121,-3700.0
122,-3700.0
123,-3700.0
124,-3700.0
125,-3700.0
126,-3700.0
127,-3700.0
128,-3700.0
129,-3700.0
130,-3700.0
131,-3700.0
132,-3700.0
133,-4300.0
134,-7100.0
135,-6671.3652168337
136,-2537.0331075794547
137,327.76283947231605
138,2151.017108356825
139,1304.6201633732362
140,-300.21258518438935
141,-3990.1719384286334
142,-4980.510600641986
143,-5582.1505914567915
144,-6906.178030652143
145,-7100.0
146,-7100.0
147,-7100.0
148,-5600.0
149,-3700.0
150,-2800.0
151,-2700.0
152,-2700.0
153,-3700.0
154,-3700.0
155,-3700.0
156,-3700.0
157,-3700.0
158,-3700.0
159,-3700.0
160,-3700.0
161,-5500.0
162,-7100.0
163,-7100.0
164,-7100.0
165,-7100.0
166,-7100.0
167,-7100.0
168,-7100.0
169,-7100.0
170,-7100.0
171,-7100.0
172,-6578.156841499053
173,-5508.514721474036
174,-4246.92855427627
175,-3305.154312314222
176,-2652.832255372845
177,-2394.5426458328648
178,-2638.891676173444
179,-1886.0353954293314
180,-503.2661494243521
181,-902.7756018322375
182,-49.04653302093857
183,312.71900864861277
184,3200.0
185,2300.0
186,1600.0
187,1580.17246279985
188,1998.1296576539344
189,3238.9450118947343
190,3913.1485159461245
191,3476.171834848641
192,3200.0
193,3500.0
194,4300.0
195,4300.0
196,3819.9084681639365
197,4300.0
198,3300.0
199,2816.5759915304307
200,2600.0
201,2600.0
202,1300.0
203,900.0
204,758.9110451858119
205,1172.1831828478703
206,1258.1813903170669
207,1644.5659567469738
208,1400.0
209,1300.0
210,1200.0
211,303.10132520946627
212,-498.26003330282856
213,787.6354053693694
214,3021.0715525627515
215,3300.0
216,3137.323717119386
217,3570.827966911162
218,4300.0
219,5300.0
220,5300.0
221,5300.0
222,5300.0
223,6205.635926821028
224,6989.315821540424
225,6444.015649968542
226,5440.661526971275
227,4803.186118801399
228,4878.67813171966
229,4276.811711788678
230,4584.209838896477
231,5617.347052784422
232,6406.741984060602
233,6700.0
234,5177.488901455639
235,3048.442283959664
236,2400.0
237,2036.043171071322
238,2496.558523590399
239,3055.8091575564736
240,1113.2811568334755
241,92.19471884194263
242,-779.1569821035769
243,289.0817084791661
244,-493.19954882888896
245,-639.1464729508748
246,1534.3089022801332
247,2869.5322952050346
248,3390.40332595316
249,4300.0
250,3646.2773837264826
251,3312.833811697733
252,2623.5507077093644
