Timestep,Real trade demand focus country
1,-7100.0
2,-7100.0
3,-7100.0
4,-6500.0
5,-6500.0
6,-6100.0
7,-6100.0
8,-6600.0
9,-7100.0
10,-7100.0
11,-7100.0
12,-7100.0
13,-7100.0
14,-7100.0
15,-7100.0
16,-7100.0
17,-6508.198217376677
18,-6733.330376164053
19,-7100.0
20,-7100.0
21,-7100.0
22,-7100.0
23,-7100.0
24,-7100.0
25,-7100.0
26,-7100.0
27,-7100.0
28,-6500.0
29,-4147.313002019628
30,-2646.6513527289017
31,-2261.584878134361
32,-1280.076841762501
33,-981.1961639251762
34,-938.5677826979443
35,-181.75912174131963
36,-834.9391256686167
37,-264.69551528309194
38,-326.79200697188116
39,-1073.867339911642
40,-1904.2552276632898
41,-3170.5851491104013
42,-4279.303646729093
43,-5744.653926230363
44,-6510.820304448322
45,-7100.0
46,-6430.457127585148
47,-6908.452746848892
48,-7100.0
49,-7100.0
50,-7100.0
51,-7100.0
52,-7100.0
53,-6900.0
54,-6200.0
55,-6300.0
56,-7100.0
57,-7100.0
58,-4900.0
59,-5800.0
60,-5900.0
61,-6100.0
62,-5452.584539452652
63,-4977.3070680565515
64,-4507.302875534093
65,-3602.407832917559
66,-3383.206128310492
67,-3738.1843218901777
68,-4752.418766177943
69,-5621.440980240786
70,-5721.542206468728
71,-3900.0
72,-3700.0
73,-3700.0
74,-3700.0
75,-3700.0
76,-3700.0
77,-3500.0
78,-2700.0
79,-2700.0
80,-2700.0
81,-2700.0
82,-2700.0
83,-3700.0
84,-3700.0
85,-3700.0
86,-3700.0
87,-4900.0
88,-7100.0
89,-7100.0
90,-7100.0
91,-7100.0
92,-7100.0
93,-7100.0
94,-3700.0
95,-3700.0
96,-3700.0
97,-3700.0
98,-3700.0
99,-3700.0
100,-3700.0
101,-3700.0
102,-3700.0
103,-3300.0
104,-5100.0
105,-6100.0
106,-6100.0
107,-6600.0
108,-7100.0
109,-7100.0
110,-6831.9455613984865
111,-6091.67108775071
112,-5715.049904813057
113,-6623.764952022615
114,-6498.9098634766015
115,-6674.23113385786
116,-6329.3912038049
117,-6058.654625615662
118,-5662.576262879769
119,-5643.087971668856
120,-5600.0
121,-3700.0
122,-3700.0
123,-3700.0
124,-3700.0
125,-3700.0
126,-3700.0
127,-3700.0
128,-3700.0
129,-3700.0
130,-3700.0
131,-3700.0
132,-3700.0
133,-4300.0
134,-7100.0
135,-6661.535435768235
136,-2532.151322548942
137,331.0510833057606
138,2154.750393069201
139,1308.3875505577498
140,-295.7308600147253
141,-3985.437150545982
142,-4975.203275267129
143,-5576.201186381608
144,-6899.341885427451
145,-7100.0
146,-7100.0
147,-7100.0
148,-5600.0
149,-3600.0
150,-2800.0
151,-2700.0
152,-2700.0
153,-3700.0
154,-3700.0
155,-3700.0
156,-3700.0
157,-3700.0
158,-3700.0
159,-3700.0
160,-3700.0
161,-5500.0
162,-7100.0
163,-7100.0
164,-7100.0
165,-7100.0
166,-7100.0
167,-7100.0
168,-7100.0
169,-7100.0
170,-7100.0
171,-7100.0
172,-6572.835320206387
173,-5503.736939252847
174,-4242.553811926788
175,-3301.0106155433787
176,-2648.8993565842716
177,-2389.8631001815293
178,-2633.1056147640365
179,-1879.7651255021183
180,-496.3801128996388
181,-896.254568466466
182,-42.608409119490716
183,317.39135741310747
184,3200.0
185,2300.0
186,1600.0
187,1582.3173690315125
188,1999.9850947475093
189,3240.7609087803426
190,3914.8446360626226
191,3477.9625400479563
192,3200.0
193,3500.0
194,4300.0
195,4300.0
196,3819.908397351764
197,4300.0
198,3300.0
199,2816.4766306181054
200,2600.0
201,2600.0
202,1300.0
203,900.0
204,762.585996158321
205,1176.3507035319885
206,1262.110262364572
207,1647.4791917407167
208,1400.0
209,1300.0
210,1200.0
211,306.3210691147351
212,-495.6951171729752
213,789.7143864292284
214,3023.054392236555
215,3300.0
216,3138.3894318422176
217,3572.260633166002
218,4300.0
219,5300.0
220,5300.0
221,5300.0
222,5300.0
223,6204.893498341165
224,6988.867141613843
225,6443.992039919349
226,5441.3198398112345
227,4804.426875648924
228,4880.532718162463
229,4278.3391985230855
230,4585.348834218428
231,5617.993547718066
232,6406.753893239764
233,6700.0
234,5177.539833813553
235,3048.4566936282845
236,2400.0
237,2035.9685127610446
238,2496.581396424349
239,3056.075502426072
240,1113.010796550243
241,92.01702859780289
242,-779.06607796668
243,290.13452823778425
244,-492.31834296667375
245,-638.4186340101446
246,1535.616914085314
247,2870.992917161597
248,3391.658638686992
249,4300.0
250,3649.9680008031028
251,3317.9062027143027
252,2629.841020870923
253,2424.4756242366952
