Timestep,Real trade demand focus country
1,-6100.0
2,-6100.0
3,-6100.0
4,-6100.0
5,-6100.0
6,-6100.0
7,-6100.0
8,-6100.0
9,-6100.0
10,-7100.0
11,-7100.0
12,-7100.0
13,-7100.0
14,-7100.0
15,-7100.0
16,-7100.0
17,-6329.418716673696
18,-6534.962265416845
19,-7100.0
20,-7100.0
21,-7100.0
22,-7100.0
23,-7100.0
24,-7100.0
25,-7100.0
26,-7100.0
27,-6900.0
28,-6100.0
29,-4016.7430900164427
30,-2535.2950924308216
31,-2179.21281470306
32,-1201.2394579945674
33,-887.3412113666866
34,-820.826814287914
35,-54.99662693030268
36,-714.3126523645838
37,-120.64556794467717
38,-182.50971954893203
39,-954.1676107752044
40,-1797.0566988711996
41,-3040.691756945461
42,-4107.619838180273
43,-5558.914360530328
44,-6316.648608330394
45,-6931.692517126356
46,-6232.139884965967
47,-6706.634358576307
48,-7100.0
49,-7100.0
50,-7100.0
51,-7100.0
52,-7100.0
53,-5400.0
54,-3700.0
55,-5300.0
56,-7100.0
57,-6100.0
58,-6100.0
59,-6100.0
60,-6100.0
61,-5778.93807014851
62,-5004.803008472464
63,-4537.564984617629
64,-4076.36727007094
65,-3172.646006293444
66,-2953.6368826315156
67,-3307.2915630832813
68,-4309.531117647968
69,-5178.958037481298
70,-5286.446472522186
71,-6100.0
72,-6100.0
73,-6100.0
74,-6100.0
75,-5500.0
76,-3700.0
77,-3100.0
78,-2700.0
79,-3600.0
80,-4600.0
81,-4800.0
82,-4100.0
83,-4300.0
84,-5100.0
85,-5900.0
86,-6100.0
87,-6100.0
88,-7100.0
89,-7100.0
90,-7100.0
91,-7100.0
92,-7100.0
93,-7100.0
94,-6100.0
95,-6000.0
96,-5500.0
97,-5200.0
98,-3700.0
99,-3700.0
100,-3600.0
101,-5400.0
102,-2700.0
103,-2700.0
104,-5700.0
105,-6100.0
106,-6100.0
107,-6100.0
108,-7100.0
109,-7000.0
110,-6384.53315671111
111,-5658.361349678251
112,-5286.938759878987
113,-6200.0
114,-6094.293169411438
115,-6268.813533767812
116,-5912.09775699618
117,-5633.525107683905
118,-5237.433146127016
119,-5217.986741323561
120,-5000.0
121,-3700.0
122,-3700.0
123,-3700.0
124,-3700.0
125,-3700.0
126,-3700.0
127,-5600.0
128,-6100.0
129,-6100.0
130,-5800.0
131,-5100.0
132,-4800.0
133,-5200.0
134,-7100.0
135,-6400.0
136,-2394.1950187316825
137,427.9935013990744
138,2266.820177480894
139,1420.9752142826692
140,-161.40854526296152
141,-3845.336217849662
142,-4817.820406690078
143,-5398.947907069473
144,-6694.587919650381
145,-7100.0
146,-7100.0
147,-7100.0
