Timestep,Real trade demand focus country
1,-6100.0
2,-6100.0
3,-5700.0
4,-5700.0
5,-5600.0
6,-5600.0
7,-5600.0
8,-5600.0
9,-6000.0
10,-6000.0
11,-6100.0
12,-6100.0
13,-6200.0
14,-6200.0
15,-7100.0
16,-6988.577833753304
17,-6209.561997316829
18,-6412.566948012378
19,-7100.0
20,-7100.0
21,-6200.0
22,-6200.0
23,-6200.0
24,-6200.0
25,-6200.0
26,-6100.0
27,-6100.0
28,-6100.0
29,-3931.055328999987
30,-2456.704120221737
31,-2096.5503775031957
32,-1122.7179804385185
33,-808.904620651163
34,-742.7503299180669
35,18.79611398633324
36,-633.9133328143248
37,-49.4119429477978
38,-112.16424222422529
39,-874.2764516592515
40,-1707.6884747092606
41,-2935.7974277176745
42,-3995.888928558442
43,-5438.125592645134
44,-6194.730662089831
45,-6809.830893211035
46,-6114.1041383601405
47,-6583.692414977628
48,-7100.0
49,-6200.0
50,-5900.0
51,-5600.0
52,-5600.0
53,-4600.0
54,-3700.0
55,-5200.0
56,-6100.0
57,-6100.0
58,-6100.0
59,-6100.0
60,-6100.0
61,-5600.0
62,-4931.220870834277
63,-4466.973637689535
64,-4007.8758133254287
65,-3104.538440465676
66,-2885.31623014455
67,-3238.7936739665383
68,-4238.831640444427
69,-5106.43321320639
70,-5208.8894521377115
71,-6100.0
72,-6100.0
73,-6100.0
74,-5200.0
75,-5200.0
76,-3700.0
77,-2700.0
78,-2700.0
79,-3400.0
80,-4300.0
81,-4500.0
82,-4000.0
83,-3600.0
84,-5000.0
85,-5700.0
86,-6100.0
87,-6100.0
88,-6100.0
89,-6100.0
90,-6100.0
91,-6100.0
92,-6100.0
93,-6100.0
94,-6100.0
95,-5800.0
96,-5400.0
97,-5200.0
98,-3700.0
99,-3700.0
100,-5300.0
101,-5400.0
102,-4952.257384826573
103,-2700.0
104,-5500.0
105,-6100.0
106,-6100.0
107,-6100.0
108,-6100.0
109,-6100.0
110,-6100.0
111,-5576.034838456247
112,-5206.412054074923
113,-6122.536660817355
114,-5996.457186273137
115,-6171.546247995908
116,-5823.487447546702
117,-5552.637201492464
118,-5158.136254825406
119,-5138.713102217829
120,-4900.0
121,-3700.0
122,-3700.0
123,-3700.0
124,-3700.0
125,-3700.0
126,-3700.0
127,-5400.0
128,-6100.0
129,-6100.0
130,-5500.0
131,-5000.0
132,-4600.0
133,-5000.0
134,-6000.0
135,-6200.0
136,-2299.506590372718
137,507.54466813018644
138,2330.8820131550556
139,1492.2401993420044
140,-81.69134402878717
141,-3737.490499032134
142,-4701.391529503651
143,-5279.295569769647
144,-6571.252861807223
145,-5700.0
146,-5600.0
147,-5600.0
