Timestep,Real trade demand focus country
1,-6100.0
2,-6100.0
3,-6100.0
4,-6100.0
5,-4600.0
6,-4400.0
7,-4000.0
8,-4600.0
9,-5000.0
10,-5100.0
11,-6100.0
12,-6100.0
13,-7100.0
14,-7100.0
15,-7100.0
16,-6681.5857027596
17,-5907.202912740315
18,-6095.71086656279
19,-6839.428801055575
20,-7100.0
21,-6100.0
22,-6300.0
23,-7100.0
24,-7100.0
25,-6900.0
26,-6100.0
27,-6100.0
28,-5900.0
29,-3713.481209694977
30,-2261.4516721236605
31,-1908.981411685002
32,-944.1945263489779
33,-616.0437467632789
34,-523.5943866313423
35,246.6098340462163
36,-393.5239710540618
37,187.29250012203283
38,119.87540156501518
39,-651.6081227095851
40,-1492.1343879142944
41,-2684.7902760116367
42,-3711.4551298098695
43,-5130.562695040886
44,-5880.863336274246
45,-6496.276089359399
46,-5804.9414944662885
47,-6264.107907458954
48,-7100.0
49,-7100.0
50,-5000.0
51,-3200.0
52,-2800.0
53,-2700.0
54,-2700.0
55,-4100.0
56,-6100.0
57,-6100.0
58,-6100.0
59,-5525.573305807318
60,-5459.175709375648
61,-5314.978651317234
62,-4565.141258252414
63,-4113.488938980696
64,-3665.9002539484077
65,-2764.653282215344
66,-2545.1549359048204
67,-2897.6428322354623
68,-3887.6656166078446
69,-4700.0
70,-3800.0
71,-6100.0
72,-6100.0
73,-6100.0
74,-5300.0
75,-4500.0
76,-3700.0
77,-3100.0
78,-2700.0
79,-3600.0
80,-4600.0
81,-4800.0
82,-4100.0
83,-4300.0
84,-4100.0
85,-5900.0
86,-6100.0
87,-6100.0
88,-6100.0
89,-6100.0
90,-6100.0
91,-6100.0
92,-6100.0
93,-6100.0
94,-6100.0
95,-6000.0
96,-5500.0
97,-5000.0
98,-2700.0
99,-2700.0
100,-5228.917531049612
101,-5123.377366755169
102,-2700.0
103,-2700.0
104,-5100.0
105,-3300.0
106,-6100.0
107,-6100.0
108,-6100.0
109,-6100.0
110,-5899.454955019435
111,-5204.691886929907
112,-4844.860061858857
113,-5744.052033588861
114,-5617.165237179859
115,-5792.844312728892
116,-5453.928774072874
117,-5192.647069448754
118,-4800.937352148005
119,-4781.576546276821
120,-4900.0
121,-3700.0
122,-3700.0
123,-3700.0
124,-3700.0
125,-3700.0
126,-3700.0
127,-5600.0
128,-6100.0
129,-6100.0
130,-5800.0
131,-5100.0
132,-4800.0
133,-5000.0
134,-6000.0
135,-5927.239878611566
136,-2057.1926357827842
137,697.10385370328
138,2500.9468032043605
139,1675.238742831967
140,127.30384721369865
141,-3476.064838559033
142,-4416.0193706024365
143,-4978.077591024796
144,-6249.473518971894
145,-7100.0
