Timestep,Lambda value FC Submodel 1
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,13.9273
17,13.9273
18,13.9273
19,13.9273
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.2
31,13.9273
32,14.3273
33,14.3273
34,14.3273
35,14.3273
36,14.3273
37,14.3273
38,14.3273
39,14.3273
40,14.3273
41,14.3273
42,13.9273
43,13.9273
44,13.9273
45,13.9273
46,13.9273
47,13.9273
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.2
62,13.9273
63,13.9273
64,13.9273
65,13.9273
66,13.9273
67,13.9273
68,13.9273
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.2
111,13.9273
112,13.9273
113,13.9273
114,13.9273
115,13.9273
116,13.9273
117,13.9273
118,13.9273
119,13.7273
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,13.9273
136,14.3273
137,14.3273
138,96.0636
139,96.0636
140,95.8636
141,14.1273
142,13.9273
143,13.9273
144,13.9273
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,13.7273
175,13.9273
176,14.3273
177,14.3273
178,14.3273
179,14.3273
180,95.8636
181,14.3273
182,96.0636
183,96.0636
184,96.26363637607271
185,96.26363637607271
186,96.26363637607271
187,96.4636
188,96.4636
189,101.5836
190,101.5836
191,96.4636
192,96.26363637607271
193,96.26363637607271
194,96.26363637607271
195,96.26363637607271
196,96.0636
197,96.26363637607271
198,96.26363637607271
199,101.5836
200,96.26363637607271
201,96.26363637607271
202,96.26363637607271
203,96.26363637607271
204,96.26363637607271
205,96.26363637607271
206,96.26363637607271
207,96.26363637607271
208,96.26363637607271
209,96.26363637607271
210,96.26363637607271
211,96.0636
212,14.3273
213,96.0636
214,96.2636
215,96.26363637607271
216,96.2636
217,96.2636
218,96.26363637607271
