Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0,DKW1,DKE1
1,304089.8944992321,5000.000000000001,0.0,13190.000000000002,0.0,0.0,0.0,0.0,0.0
2,294764.33894367656,5140.000000000002,0.0,13190.000000000002,0.0,0.0,0.0,0.0,0.0
3,287261.90196260327,5140.000000000002,0.0,13190.000000000002,0.0,0.0,0.0,0.0,0.0
4,285702.09315205284,5140.000000000002,0.0,15016.273306514824,0.0,0.0,0.0,0.0,0.0
5,285702.09315205284,5140.000000000002,0.0,17674.873306514823,0.0,0.0,0.0,0.0,0.0
6,285702.09315205284,5140.000000000002,0.0,18567.571174932724,0.0,0.0,0.0,0.0,0.0
7,287399.1420626814,5140.000000000002,0.0,19639.004776187187,0.0,0.0,0.0,0.0,0.0
8,289576.6850884077,5140.000000000002,0.0,22297.604776187185,0.0,0.0,0.0,0.0,0.0
9,292853.12484104245,5140.000000000002,0.0,24956.204776187184,0.0,0.0,0.0,0.0,0.0
10,296211.54705589486,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
11,298237.64125350746,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
12,299056.44207098114,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
13,299056.44207098114,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
14,299056.44207098114,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
15,296210.1159948107,5140.000000000002,0.0,23121.96102439925,0.0,0.0,0.0,0.0,0.0
16,287336.15646020113,5140.000000000002,0.0,19839.738802177028,0.0,0.0,0.0,0.0,0.0
17,278010.6009046456,5140.000000000002,0.0,16557.516579954805,0.0,0.0,0.0,0.0,0.0
18,268685.04534909,5140.000000000002,0.0,13275.294357732582,0.0,0.0,0.0,0.0,0.0
19,259359.48979353448,5140.000000000002,0.0,10233.354222328777,0.0,0.0,0.0,0.0,0.0
20,250033.93423797892,5140.000000000002,0.0,10233.354222328777,0.0,0.0,0.0,0.0,0.0
21,241983.27694530872,5140.000000000002,0.0,12244.030731393585,0.0,0.0,0.0,0.0,0.0
22,238571.16219817524,5140.000000000002,0.0,14902.630731393585,0.0,0.0,0.0,0.0,0.0
23,238043.18300320688,5140.000000000002,0.0,17561.230731393585,0.0,0.0,0.0,0.0,0.0
24,238043.18300320688,5140.000000000002,0.0,17561.230731393585,0.0,0.0,0.0,0.0,0.0
25,238043.18300320688,5140.000000000002,0.0,18194.36255642677,0.0,0.0,0.0,0.0,0.0
26,238043.18300320688,5140.000000000002,0.0,18194.36255642677,0.0,0.0,0.0,0.0,0.0
27,243466.17268075328,5140.000000000002,0.0,18404.200000000008,0.0,0.0,0.0,0.0,0.0
28,250266.69175643584,5140.000000000002,0.0,18404.200000000008,0.0,0.0,0.0,0.0,0.0
29,257820.39175643586,5140.000000000002,0.0,18404.200000000008,0.0,0.0,0.0,0.0,0.0
30,265374.09175643587,5140.000000000002,0.0,18404.200000000008,0.0,0.0,0.0,0.0,0.0
31,269476.6082362259,5140.000000000002,0.0,21062.800000000007,0.0,0.0,0.0,0.0,0.0
32,269476.6082362259,5140.000000000002,0.0,23721.400000000005,0.0,0.0,0.0,0.0,0.0
33,260282.23819361784,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
34,250956.68263806228,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
