Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
1,304089.8944992321,5000.000000000001,0.0,13190.000000000002,0.0,0.0,0.0
2,294764.33894367656,5000.000000000001,0.0,13190.000000000002,0.0,0.0,0.0
3,288876.9029024325,5140.000000000002,0.0,13190.000000000002,0.0,0.0,0.0
4,288494.785630626,6760.000000000002,0.0,13190.000000000002,0.0,0.0,0.0
5,288494.785630626,6760.000000000002,0.0,15689.365955238745,0.0,0.0,0.0
6,288494.785630626,6760.000000000002,0.0,18347.965955238746,0.0,0.0,0.0
7,288494.785630626,6760.000000000002,0.0,21006.565955238744,0.0,0.0,0.0
8,290440.5884058757,6760.000000000002,0.0,23665.165955238743,0.0,0.0,0.0
9,290440.5884058757,6760.000000000002,0.0,26275.57521056383,0.0,0.0,0.0
10,290440.5884058757,6760.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
11,290909.7231943672,6760.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
12,290909.7231943672,6760.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
13,290909.7231943672,6760.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
14,290909.7231943672,6760.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
15,288372.1123859186,6760.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
16,281370.53790438245,6760.000000000002,0.0,25083.84103008784,0.0,0.0,0.0
17,272044.9823488269,6760.000000000002,0.0,24002.29214453938,0.0,0.0,0.0
18,262719.4267932713,6760.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
19,254059.69955365252,6760.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
20,246233.7724564826,6760.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
21,241307.80454972683,6760.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
22,241071.3826673192,8380.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
23,241071.3826673192,8380.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
24,241071.3826673192,8380.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
25,241071.3826673192,8380.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
26,241071.3826673192,8380.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
27,244978.19893910777,10000.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
28,249429.20930954115,10000.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
29,254555.79961981974,10000.000000000002,0.0,23463.142090081506,0.0,0.0,0.0
30,259377.48310008782,10000.000000000002,0.0,23930.95959065438,0.0,0.0,0.0
31,260918.66332552332,10000.000000000002,0.0,25260.225300175847,0.0,0.0,0.0
32,260918.66332552332,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
33,255453.92186181535,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
34,246128.3663062598,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
35,236802.81075070423,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
36,227477.25519514867,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
37,218151.6996395931,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
38,208826.14408403754,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
39,199500.58852848198,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
40,190175.03297292642,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
41,180849.47741737086,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
42,171523.9218618153,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
43,162198.36630625973,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
44,152872.81075070417,10000.000000000002,0.0,23248.264936134186,0.0,0.0,0.0
45,143547.2551951486,10000.000000000002,0.0,19966.042713911964,0.0,0.0,0.0
46,134221.69963959305,10000.000000000002,0.0,16683.82049168974,0.0,0.0,0.0
47,124896.14408403749,10000.000000000002,0.0,13841.431239963707,0.0,0.0,0.0
48,115570.58852848192,10000.000000000002,0.0,13260.515591658746,0.0,0.0,0.0
49,108522.26438897432,10000.000000000002,0.0,13260.515591658746,0.0,0.0,0.0
50,108522.26438897432,10000.000000000002,0.0,14182.39555329632,0.0,0.0,0.0
51,108522.26438897432,10000.000000000002,0.0,16840.995553296318,0.0,0.0,0.0
52,110969.21044462545,10000.000000000002,0.0,19499.595553296316,0.0,0.0,0.0
53,117137.02438280813,10000.000000000002,0.0,21027.493454643423,0.0,0.0,0.0
54,124001.6436156944,10000.000000000002,0.0,23686.093454643422,0.0,0.0,0.0
