Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
1,208379.49999999997,45000.00000000001,0.0,0.0,4.301e6,1.06505e7,2.8664e7
2,208494.06127454853,45000.00000000001,0.0,0.0,4.300028246977287e6,1.0649292527393231e7,2.8665599760978986e7
3,209920.5569672781,45000.00000000001,0.0,0.0,4.299080480213961e6,1.0648137167616064e7,2.866811390732028e7
4,211347.05266000767,45000.00000000001,0.0,0.0,4.298167924182953e6,1.0647012268412637e7,2.867076363928092e7
5,212773.54835273724,45000.00000000001,0.0,0.0,4.297274360403938e6,1.064588802537441e7,2.867330581797243e7
6,214200.0440454668,45000.00000000001,0.0,0.0,4.296420383513794e6,1.0644715210265968e7,2.867559735646528e7
7,215626.53973819638,45000.00000000001,0.0,0.0,4.295551871249054e6,1.0643435838618778e7,2.8677541893237036e7
8,217053.03543092596,45000.00000000001,0.0,0.0,4.294528243725426e6,1.064200589714638e7,2.867904263589447e7
9,218479.53112365553,45000.00000000001,0.0,0.0,4.293380638910283e6,1.0640471824478658e7,2.8680019267720204e7
10,219906.0268163851,45000.00000000001,0.0,0.0,4.2921535361465e6,1.0638867989278276e7,2.8680398586433448e7
11,221332.52250911467,45000.00000000001,0.0,0.0,4.290807262278272e6,1.0637205052814374e7,2.868030166558577e7
12,222759.01820184424,45630.000000000015,0.0,0.0,4.289379066232721e6,1.0635486400258223e7,2.868002963137912e7
13,224185.5138945738,45630.000000000015,0.0,0.0,4.287885924155665e6,1.06337417011555e7,2.8679768215994433e7
14,225612.0095873034,45630.000000000015,0.0,0.0,4.286342017844029e6,1.0631947182445252e7,2.867955691863245e7
15,227038.50528003296,47160.000000000015,0.0,0.0,4.284773029802697e6,1.0630096012506273e7,2.8679394068431117e7
16,228465.00097276253,47160.000000000015,0.0,0.0,4.283161208290582e6,1.0628202331004431e7,2.8679089485385906e7
17,229891.4966654921,47160.000000000015,0.0,0.0,4.281487155508249e6,1.062631672734236e7,2.8678446692185372e7
18,231317.99235822167,47160.000000000015,0.0,0.0,4.279761917170537e6,1.0624456542779181e7,2.867766312497874e7
19,232744.48805095124,47160.000000000015,0.0,0.0,4.277987932014413e6,1.0622621216673128e7,2.867686754643182e7
20,234170.98374368082,47160.000000000015,0.0,0.0,4.276200815552088e6,1.0620829830626251e7,2.867631191810645e7
21,235597.4794364104,47160.000000000015,0.0,0.0,4.274432173713708e6,1.0619086302075615e7,2.8676076648664795e7
22,237023.97512913996,47160.000000000015,0.0,0.0,4.272707489732844e6,1.0617393306076108e7,2.8676190146240152e7
23,238450.47082186953,47160.000000000015,0.0,0.0,4.27105606729131e6,1.0615771941655517e7,2.8676778012092426e7
24,239876.9665145991,48690.000000000015,0.0,0.0,4.2694930661337515e6,1.0614238155323498e7,2.8677849778182935e7
