Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
1,129289.01098901099,5.0e6,0.0,0.0,0.0,0.0,0.0
2,129326.17470823633,5.002136695045732e6,0.0,0.0,0.0,0.0,0.0
3,129363.33842746167,5.004273390091464e6,0.0,0.0,0.0,0.0,0.0
4,129400.50214668701,5.006410085137196e6,0.0,0.0,0.0,0.0,0.0
5,129437.66586591235,5.008546780182928e6,0.0,0.0,0.0,0.0,0.0
6,129474.82958513769,5.01068347522866e6,0.0,0.0,0.0,0.0,0.0
7,129511.99330436303,5.012820170274392e6,0.0,0.0,0.0,0.0,0.0
8,129549.15702358837,5.014956865320124e6,0.0,0.0,0.0,0.0,0.0
9,129586.32074281371,5.017093560365856e6,0.0,0.0,0.0,0.0,0.0
10,129623.48446203905,5.019230255411588e6,0.0,0.0,0.0,0.0,0.0
11,129660.64818126439,5.02136695045732e6,0.0,0.0,0.0,0.0,0.0
12,129697.81190048973,5.023503645503052e6,0.0,0.0,0.0,0.0,0.0
13,129734.97561971507,5.025640340548784e6,0.0,0.0,0.0,0.0,0.0
14,129772.13933894041,5.0277770355945155e6,0.0,0.0,0.0,0.0,0.0
15,129809.30305816575,5.029913730640247e6,0.0,0.0,0.0,0.0,0.0
16,129846.46677739109,5.032050425685979e6,0.0,0.0,0.0,0.0,0.0
17,129883.63049661643,5.034187120731711e6,0.0,0.0,0.0,0.0,0.0
18,129920.79421584177,5.036323815777443e6,0.0,0.0,0.0,0.0,0.0
19,129957.95793506711,5.038460510823175e6,0.0,0.0,0.0,0.0,0.0
20,129995.12165429245,5.040597205868907e6,0.0,0.0,0.0,0.0,0.0
21,130032.28537351779,5.042733900914639e6,0.0,0.0,0.0,0.0,0.0
22,130069.44909274313,5.044870595960371e6,0.0,0.0,0.0,0.0,0.0
23,130106.61281196847,5.047007291006103e6,0.0,0.0,0.0,0.0,0.0
24,130143.77653119381,5.049143986051835e6,0.0,0.0,0.0,0.0,0.0
25,130180.94025041915,5.051280681097567e6,0.0,0.0,0.0,0.0,0.0
26,130218.1039696445,5.053417376143299e6,0.0,0.0,0.0,0.0,0.0
27,130255.26768886983,5.055554071189031e6,0.0,0.0,0.0,0.0,0.0
28,130292.43140809517,5.057690766234763e6,0.0,0.0,0.0,0.0,0.0
29,130329.59512732051,5.059827461280495e6,0.0,0.0,0.0,0.0,0.0
30,130366.75884654585,5.061964156326227e6,0.0,0.0,0.0,0.0,0.0
31,130403.9225657712,5.064100851371959e6,0.0,0.0,0.0,0.0,0.0
32,130441.08628499653,5.066237546417691e6,0.0,0.0,0.0,0.0,0.0
33,130478.25000422187,5.068374241463423e6,0.0,0.0,0.0,0.0,0.0
34,130515.41372344721,5.070510936509155e6,0.0,0.0,0.0,0.0,0.0
35,130552.57744267255,5.072647631554887e6,0.0,0.0,0.0,0.0,0.0
36,130589.7411618979,5.074784326600619e6,0.0,0.0,0.0,0.0,0.0
37,130626.90488112324,5.076921021646351e6,0.0,0.0,0.0,0.0,0.0
38,130664.06860034858,5.079057716692083e6,0.0,0.0,0.0,0.0,0.0
39,130701.23231957392,5.081194411737815e6,0.0,0.0,0.0,0.0,0.0
40,130738.39603879926,5.0833311067835465e6,0.0,0.0,0.0,0.0,0.0
41,130775.5597580246,5.0854678018292785e6,0.0,0.0,0.0,0.0,0.0
42,130812.72347724994,5.08760449687501e6,0.0,0.0,0.0,0.0,0.0
43,130849.88719647528,5.089741191920742e6,0.0,0.0,0.0,0.0,0.0
44,130887.05091570062,5.091877886966474e6,0.0,0.0,0.0,0.0,0.0
45,130924.21463492596,5.094014582012206e6,0.0,0.0,0.0,0.0,0.0
46,130961.3783541513,5.096151277057938e6,0.0,0.0,0.0,0.0,0.0
47,130998.54207337664,5.09828797210367e6,0.0,0.0,0.0,0.0,0.0
48,131035.70579260198,5.100424667149402e6,0.0,0.0,0.0,0.0,0.0
49,131072.86951182733,5.102561362195134e6,0.0,0.0,0.0,0.0,0.0
50,131110.0332310527,5.104698057240866e6,0.0,0.0,0.0,0.0,0.0
51,131147.19695027804,5.106834752286598e6,0.0,0.0,0.0,0.0,0.0
52,131184.3606695034,5.10897144733233e6,0.0,0.0,0.0,0.0,0.0
53,131221.52438872875,5.111108142378062e6,0.0,0.0,0.0,0.0,0.0
54,131258.6881079541,5.113244837423794e6,0.0,0.0,0.0,0.0,0.0
55,131295.85182717946,5.115381532469526e6,0.0,0.0,0.0,0.0,0.0
56,131333.01554640481,5.117518227515258e6,0.0,0.0,0.0,0.0,0.0
57,131370.17926563017,5.11965492256099e6,0.0,0.0,0.0,0.0,0.0
58,131407.34298485552,5.121791617606722e6,0.0,0.0,0.0,0.0,0.0
59,131444.50670408088,5.123928312652454e6,0.0,0.0,0.0,0.0,0.0
60,131481.67042330623,5.126065007698186e6,0.0,0.0,0.0,0.0,0.0
61,131518.8341425316,5.128201702743918e6,0.0,0.0,0.0,0.0,0.0
62,131555.99786175694,5.13033839778965e6,0.0,0.0,0.0,0.0,0.0
63,131593.1615809823,5.132475092835382e6,0.0,0.0,0.0,0.0,0.0
64,131630.32530020765,5.134611787881114e6,0.0,0.0,0.0,0.0,0.0
65,131667.489019433,5.136748482926846e6,0.0,0.0,0.0,0.0,0.0
66,131704.65273865836,5.1388851779725775e6,0.0,0.0,0.0,0.0,0.0
67,131741.81645788372,5.1410218730183095e6,0.0,0.0,0.0,0.0,0.0
68,131778.98017710907,5.143158568064041e6,0.0,0.0,0.0,0.0,0.0
69,131816.14389633443,5.145295263109773e6,0.0,0.0,0.0,0.0,0.0
70,131853.30761555978,5.147431958155505e6,0.0,0.0,0.0,0.0,0.0
71,131890.47133478514,5.149568653201237e6,0.0,0.0,0.0,0.0,0.0
72,131927.6350540105,5.151705348246969e6,0.0,0.0,0.0,0.0,0.0
73,131964.79877323585,5.153842043292701e6,0.0,0.0,0.0,0.0,0.0
74,132001.9624924612,5.155978738338433e6,0.0,0.0,0.0,0.0,0.0
75,132039.12621168655,5.158115433384165e6,0.0,0.0,0.0,0.0,0.0
76,132076.2899309119,5.160252128429897e6,0.0,0.0,0.0,0.0,0.0
77,132113.45365013726,5.162388823475629e6,0.0,0.0,0.0,0.0,0.0
78,132150.61736936262,5.164525518521361e6,0.0,0.0,0.0,0.0,0.0
79,132187.78108858797,5.166662213567093e6,0.0,0.0,0.0,0.0,0.0
80,132224.94480781333,5.168798908612825e6,0.0,0.0,0.0,0.0,0.0
81,132262.10852703868,5.170935603658557e6,0.0,0.0,0.0,0.0,0.0
82,132299.27224626404,5.173072298704289e6,0.0,0.0,0.0,0.0,0.0
83,132336.4359654894,5.175208993750021e6,0.0,0.0,0.0,0.0,0.0
84,132373.59968471475,5.177345688795753e6,0.0,0.0,0.0,0.0,0.0
85,132410.7634039401,5.179482383841485e6,0.0,0.0,0.0,0.0,0.0
86,132447.92712316546,5.181619078887217e6,0.0,0.0,0.0,0.0,0.0
87,132485.0908423908,5.183755773932949e6,0.0,0.0,0.0,0.0,0.0
88,132522.25456161617,5.185892468978681e6,0.0,0.0,0.0,0.0,0.0
89,132559.41828084152,5.188029164024413e6,0.0,0.0,0.0,0.0,0.0
90,132596.58200006688,5.190165859070145e6,0.0,0.0,0.0,0.0,0.0
91,132633.74571929223,5.192302554115877e6,0.0,0.0,0.0,0.0,0.0
92,132670.90943851758,5.1944392491616085e6,0.0,0.0,0.0,0.0,0.0
93,132708.07315774294,5.1965759442073405e6,0.0,0.0,0.0,0.0,0.0
94,132745.2368769683,5.198712639253072e6,0.0,0.0,0.0,0.0,0.0
95,132782.40059619365,5.200849334298804e6,0.0,0.0,0.0,0.0,0.0
96,132819.564315419,5.202986029344536e6,0.0,0.0,0.0,0.0,0.0
97,132856.72803464436,5.205122724390268e6,0.0,0.0,0.0,0.0,0.0
98,132893.8917538697,5.207259419436e6,0.0,0.0,0.0,0.0,0.0
99,132931.05547309507,5.209396114481732e6,0.0,0.0,0.0,0.0,0.0
100,132968.21919232042,5.211532809527464e6,0.0,0.0,0.0,0.0,0.0
101,133005.38291154578,5.213669504573196e6,0.0,0.0,0.0,0.0,0.0
102,133042.54663077113,5.215806199618928e6,0.0,0.0,0.0,0.0,0.0
103,133079.7103499965,5.21794289466466e6,0.0,0.0,0.0,0.0,0.0
104,133116.87406922184,5.220079589710392e6,0.0,0.0,0.0,0.0,0.0
105,133154.0377884472,5.222216284756124e6,0.0,0.0,0.0,0.0,0.0
106,133191.20150767255,5.224352979801856e6,0.0,0.0,0.0,0.0,0.0
107,133228.3652268979,5.226489674847588e6,0.0,0.0,0.0,0.0,0.0
108,133265.52894612326,5.22862636989332e6,0.0,0.0,0.0,0.0,0.0
109,133302.69266534862,5.230763064939052e6,0.0,0.0,0.0,0.0,0.0
110,133339.85638457397,5.232899759984784e6,0.0,0.0,0.0,0.0,0.0
111,133377.02010379932,5.235036455030516e6,0.0,0.0,0.0,0.0,0.0
112,133414.18382302468,5.237173150076248e6,0.0,0.0,0.0,0.0,0.0
113,133451.34754225003,5.23930984512198e6,0.0,0.0,0.0,0.0,0.0
