Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0,DKW1,DKE1
1,208379.49999999997,45000.00000000001,0.0,0.0,4.301e6,1.06505e7,2.8664e7,0.0,0.0
2,208494.06127454853,45000.00000000001,0.0,0.0,4.300028246977287e6,1.0649292527393231e7,2.8665458305853628e7,0.0,0.0
3,209920.5569672781,45000.00000000001,0.0,0.0,4.299080480213961e6,1.0648137167616064e7,2.866979467441714e7,0.0,0.0
4,211347.05266000767,45000.00000000001,0.0,0.0,4.298167924182953e6,1.0647012268412637e7,2.86742666286e7,0.0,0.0
5,212773.54835273724,45000.00000000001,0.0,0.0,4.297274360403938e6,1.064588802537441e7,2.867863102951373e7,0.0,0.0
6,214200.0440454668,45000.00000000001,0.0,0.0,4.29797593906935e6,1.0644715210265968e7,2.868118923467325e7,0.0,0.0
7,215626.53973819638,45000.00000000001,0.0,0.0,4.298662982360165e6,1.0643435838618778e7,2.8683400438111674e7,0.0,0.0
8,217053.03543092596,45000.00000000001,0.0,0.0,4.299194910392092e6,1.064200589714638e7,2.8685167847435772e7,0.0,0.0
9,218479.53112365553,45000.00000000001,0.0,0.0,4.298047305576949e6,1.0640471824478658e7,2.868796670148373e7,0.0,0.0
10,219906.0268163851,45000.00000000001,0.0,0.0,4.296820202813166e6,1.0638867989278276e7,2.8690168242419194e7,0.0,0.0
11,221332.52250911467,45000.00000000001,0.0,0.0,4.295473928944938e6,1.0637205052814374e7,2.869189354379374e7,0.0,0.0
12,222759.01820184424,45630.000000000015,0.0,0.0,4.294045732899387e6,1.0635486400258223e7,2.8693443731809314e7,0.0,0.0
13,224185.5138945738,45630.000000000015,0.0,0.0,4.292552590822331e6,1.06337417011555e7,2.869500453864685e7,0.0,0.0
14,225612.0095873034,45630.000000000015,0.0,0.0,4.291008684510695e6,1.0631947182445252e7,2.869661546350709e7,0.0,0.0
15,227038.50528003296,45630.000000000015,0.0,0.0,4.289439696469363e6,1.0630096012506273e7,2.869827483552798e7,0.0,0.0
16,228465.00097276253,45630.000000000015,0.0,0.0,4.287827874957248e6,1.0628202331004431e7,2.8699792474704992e7,0.0,0.0
17,229891.4966654921,45630.000000000015,0.0,0.0,4.286153822174915e6,1.062631672734236e7,2.8700971903726682e7,0.0,0.0
18,231317.99235822167,45630.000000000015,0.0,0.0,4.284428583837203e6,1.0624456542779181e7,2.870201055874227e7,0.0,0.0
19,232744.48805095124,45630.000000000015,0.0,0.0,4.282654598681079e6,1.0622621216673128e7,2.870303720241757e7,0.0,0.0
20,234170.98374368082,45630.000000000015,0.0,0.0,4.2808674822187545e6,1.0620829830626251e7,2.8704303796314426e7,0.0,0.0
21,235597.4794364104,45630.000000000015,0.0,0.0,4.279098840380374e6,1.0619086302075615e7,2.8705890749094993e7,0.0,0.0
22,237023.97512913996,45630.000000000015,0.0,0.0,4.27737415639951e6,1.0617393306076108e7,2.8707826468892574e7,0.0,0.0
23,238450.47082186953,45630.000000000015,0.0,0.0,4.277278289513531e6,1.0615771941655517e7,2.8708681001411516e7,0.0,0.0
24,239876.9665145991,45630.000000000015,0.0,0.0,4.275715288355973e6,1.0614238155323498e7,2.8711574989724245e7,0.0,0.0
25,241303.46220732867,45630.000000000015,0.0,0.0,4.27577608406273e6,1.0612779335553564e7,2.8713275792960793e7,0.0,0.0
26,242729.95790005825,45630.000000000015,0.0,0.0,4.274207075684948e6,1.0611222360073427e7,2.8716693349794246e7,0.0,0.0
27,244156.45359278782,45630.000000000015,0.0,0.0,4.272607443187678e6,1.0609663379947176e7,2.8720326142615367e7,0.0,0.0
28,245582.9492855174,45630.000000000015,0.0,0.0,4.271019150284316e6,1.0608108414161742e7,2.872418214050361e7,0.0,0.0
29,247009.44497824696,45630.000000000015,0.0,0.0,4.27098595031249e6,1.0606527231813772e7,2.8726515166409794e7,0.0,0.0
30,248435.94067097653,45630.000000000015,0.0,0.0,4.269358469280014e6,1.0604881067178082e7,2.87299819450357e7,0.0,0.0
31,249862.4363637061,45630.000000000015,0.0,0.0,4.2676054920572825e6,1.0603106333522998e7,2.8732073220886346e7,0.0,0.0
32,251288.93205643567,45630.000000000015,0.0,0.0,4.267237089425046e6,1.0601167637046577e7,2.87309627989044e7,0.0,0.0
33,252715.42774916525,45630.000000000015,0.0,0.0,4.265252887545492e6,1.0599163576092396e7,2.8730849322191164e7,0.0,0.0
34,252829.9890237138,45630.000000000015,0.0,0.0,4.264804017618932e6,1.059713966498555e7,2.8726440631304983e7,0.0,0.0
35,252944.55029826236,45630.000000000015,0.0,0.0,4.262792099366137e6,1.0595107956662698e7,2.8722137393908616e7,0.0,0.0
36,253059.1115728109,47160.000000000015,0.0,0.0,4.262382940957398e6,1.0593074886673726e7,2.8716441176389392e7,0.0,0.0
37,253173.67284735947,48690.000000000015,0.0,0.0,4.260438530558444e6,1.059106413173244e7,2.8712489458935115e7,0.0,0.0
38,253288.23412190803,50220.000000000015,0.0,0.0,4.258446927070115e6,1.0589050845147192e7,2.8708660694424123e7,0.0,0.0
39,252856.00869136967,50220.000000000015,0.0,0.0,4.256396189127102e6,1.0587023955476055e7,2.870486096344464e7,0.0,0.0
40,251350.89784470713,50220.000000000015,0.0,0.0,4.254287684863723e6,1.0584996088193428e7,2.870099118104365e7,0.0,0.0
41,249845.78699804458,50220.000000000015,0.0,0.0,4.252119761311085e6,1.058300066680457e7,2.8696901617284887e7,0.0,0.0
42,248990.45611261256,50220.000000000015,0.0,0.0,4.251468574474992e6,1.058104934034811e7,2.869128855384605e7,0.0,0.0
43,249105.01738716112,50220.000000000015,0.0,0.0,4.250776341738597e6,1.0579116075260567e7,2.868489144572279e7,0.0,0.0
44,248686.08447946393,50220.000000000015,0.0,0.0,4.248537462260254e6,1.0577194754961371e7,2.8681190039297745e7,0.0,0.0
45,248800.64575401248,50220.000000000015,0.0,0.0,4.246347010946528e6,1.0575288424957871e7,2.86771924667716e7,0.0,0.0
46,248440.95779483096,50220.000000000015,0.0,0.0,4.244230589208849e6,1.0573405519178145e7,2.8674085454492737e7,0.0,0.0
47,248555.51906937952,50220.000000000015,0.0,0.0,4.242357512564855e6,1.0573004753024068e7,2.8670058510098018e7,0.0,0.0
48,248670.08034392807,50220.000000000015,0.0,0.0,4.242084474225542e6,1.0571215834896559e7,2.866822330115548e7,0.0,0.0
49,250096.57603665764,50220.000000000015,0.0,0.0,4.240395782176958e6,1.0569481848757861e7,2.867151466137798e7,0.0,0.0
50,251523.07172938721,50220.000000000015,0.0,0.0,4.2388240059967525e6,1.0567778829204235e7,2.867554573307075e7,0.0,0.0
51,252949.5674221168,51750.000000000015,0.0,0.0,4.237356573189555e6,1.0566104157951148e7,2.867989998219209e7,0.0,0.0
52,254376.06311484636,51750.000000000015,0.0,0.0,4.237516763403219e6,1.0564439710615594e7,2.8682905123702846e7,0.0,0.0
53,255802.55880757593,51750.000000000015,0.0,0.0,4.2377075300286915e6,1.0562750901286392e7,2.8685853895396996e7,0.0,0.0
54,257229.0545003055,53280.000000000015,0.0,0.0,4.2378384212116925e6,1.0560993010424465e7,2.86881506027013e7,0.0,0.0
55,258655.55019303507,53280.000000000015,0.0,0.0,4.236211606353988e6,1.0559094043275042e7,2.8690568338686753e7,0.0,0.0
56,260082.04588576464,53280.000000000015,0.0,0.0,4.235875446116963e6,1.0557023833255986e7,2.8689990393333808e7,0.0,0.0
57,261508.54157849422,53280.000000000015,0.0,0.0,4.233882650295301e6,1.0554884422901925e7,2.869048724780131e7,0.0,0.0
58,262935.0372712238,53280.000000000015,0.0,0.0,4.233445299163564e6,1.0552747688175559e7,2.8689451840789948e7,0.0,0.0
59,264361.53296395333,53280.000000000015,0.0,0.0,4.23144012949724e6,1.0550642924315866e7,2.86900287163181e7,0.0,0.0
60,265788.0286566829,53280.000000000015,0.0,0.0,4.230963914288326e6,1.0548575002467763e7,2.868919794609696e7,0.0,0.0
61,267214.5243494124,53280.000000000015,0.0,0.0,4.228891653133747e6,1.054654501282719e7,2.869011584308069e7,0.0,0.0
62,268641.02004214196,53280.000000000015,0.0,0.0,4.226797549737537e6,1.0544521906832403e7,2.8691080050300416e7,0.0,0.0
63,270067.5157348715,53280.000000000015,0.0,0.0,4.224721495677981e6,1.0542503558413498e7,2.869196603485551e7,0.0,0.0
64,271494.01142760104,53280.000000000015,0.0,0.0,4.224197931301083e6,1.054050663187516e7,2.8691216579174805e7,0.0,0.0
65,272920.5071203306,53280.000000000015,0.0,0.0,4.223675442514218e6,1.0538549138256364e7,2.8690329707989488e7,0.0,0.0
66,274347.0028130601,53280.000000000015,0.0,0.0,4.221625023131355e6,1.0536630787297692e7,2.869088723152227e7,0.0,0.0
67,275773.49850578967,53280.000000000015,0.0,0.0,4.221133718833545e6,1.0534744647732541e7,2.8689857311560508e7,0.0,0.0
68,277199.9941985192,53280.000000000015,0.0,0.0,4.219154408848603e6,1.0532913713113485e7,2.8688380488266315e7,0.0,0.0
69,278626.48989124876,53280.000000000015,0.0,0.0,4.21883056183694e6,1.0531149397910766e7,2.8684518457471352e7,0.0,0.0
70,280052.9855839783,53280.000000000015,0.0,0.0,4.218630251234355e6,1.052945702809118e7,2.8682470082716994e7,0.0,0.0
71,281479.48127670784,53280.000000000015,0.0,0.0,4.218585992240141e6,1.0527867936350752e7,2.8682541748922784e7,0.0,0.0
72,282905.9769694374,53280.000000000015,0.0,0.0,4.218662483364443e6,1.0526392426550621e7,2.8683718300987e7,0.0,0.0
73,284332.4726621669,54810.000000000015,0.0,0.0,4.218782050663374e6,1.0525000171836756e7,2.868589073527541e7,0.0,0.0
74,285758.96835489647,54810.000000000015,0.0,0.0,4.217303462216122e6,1.0523610407020712e7,2.869040320025098e7,0.0,0.0
